Material Composition,Surface Treatment,Coating Thickness (µm),Curing Temperature (°C),Application Method,Contact Angle (°),Durability Score,UV Resistance (normalized),Corrosion Resistance (score)
Polyurethane,Chemical,25.91,185.4,Brush,128.6,52.1,0.96,96.4
Polyester,Chemical,34.24,170.8,Dip,114.5,50.9,0.81,82.1
Polyester,UV,7.16,85.6,Brush,91.5,99.4,0.9,79.8
Polyurethane,Chemical,47.71,112.2,Spray,99.4,71.4,0.82,90.0
Polyurethane,Chemical,44.9,82.7,Spray,133.0,69.2,0.85,94.2
Polyurethane,UV,16.74,139.8,Dip,129.5,84.0,1.0,92.9
Polyurethane,None,5.69,137.1,Dip,91.6,60.9,0.83,93.9
Silicone,Chemical,47.0,179.8,Dip,103.3,97.5,0.9,83.1
Acrylic,UV,27.55,116.9,Spray,103.9,89.3,0.92,94.5
Acrylic,Plasma,29.27,178.0,Brush,130.3,54.5,0.94,73.6
Polyurethane,None,35.78,196.2,Spray,91.2,70.9,0.91,86.3
Acrylic,Plasma,32.71,90.6,Dip,96.2,94.0,0.8,70.2
Acrylic,Plasma,47.48,175.0,Brush,138.0,97.2,0.87,79.7
Polyurethane,UV,47.49,150.8,Brush,100.7,73.4,0.9,81.0
Acrylic,Chemical,44.02,137.6,Spray,129.2,80.7,0.82,81.9
Polyester,UV,33.64,130.5,Dip,104.3,58.4,0.87,90.9
Epoxy,UV,41.04,174.2,Spray,96.0,99.6,0.81,81.7
Epoxy,UV,35.47,156.7,Brush,104.6,61.6,0.82,83.5
Polyurethane,UV,30.8,176.6,Spray,133.3,97.1,0.88,77.1
Silicone,None,10.78,188.4,Spray,141.3,82.5,0.83,81.2
Polyurethane,Chemical,41.5,154.1,Dip,139.8,80.4,0.91,76.8
Silicone,Plasma,41.93,197.7,Dip,113.8,75.6,0.94,72.2
Epoxy,Plasma,33.17,153.0,Brush,130.1,61.5,0.96,88.1
Polyurethane,Chemical,41.92,156.4,Spray,102.3,58.8,0.84,90.0
Polyester,Plasma,34.32,146.6,Spray,107.6,61.0,0.83,88.6
Acrylic,Chemical,14.3,90.9,Spray,143.8,59.3,0.82,83.9
Silicone,Plasma,17.33,167.2,Brush,90.8,89.0,0.93,81.4
Acrylic,UV,14.66,145.7,Brush,95.1,67.5,0.94,95.9
Acrylic,Plasma,21.98,134.1,Dip,102.5,52.9,0.81,85.6
Polyurethane,Chemical,6.75,189.3,Dip,91.6,98.5,0.99,84.4
Acrylic,Chemical,32.82,115.8,Dip,100.9,94.2,0.81,70.8
Polyester,Chemical,20.14,142.8,Spray,125.0,96.4,0.91,80.2
Acrylic,Chemical,34.51,163.7,Spray,115.3,99.7,0.94,81.4
Polyurethane,Chemical,22.34,175.6,Dip,143.6,58.7,0.97,82.0
Polyester,None,35.67,135.1,Spray,139.0,69.8,0.94,87.4
Epoxy,None,20.33,181.1,Dip,110.5,87.9,0.96,86.0
Acrylic,Plasma,16.73,172.3,Brush,105.6,84.8,0.87,88.2
Polyurethane,Chemical,27.32,87.9,Dip,112.8,57.7,0.96,92.9
Epoxy,Plasma,36.18,85.5,Brush,125.4,90.8,0.82,94.4
Epoxy,Chemical,20.68,154.5,Spray,106.1,61.2,0.98,91.5
Silicone,Chemical,47.15,121.7,Dip,127.4,61.2,0.91,98.7
Polyester,None,6.76,105.1,Spray,114.6,76.8,0.96,70.5
Acrylic,None,23.81,149.6,Brush,123.1,79.6,0.89,75.9
Polyurethane,UV,48.54,121.0,Brush,116.2,79.0,0.93,70.2
Silicone,None,29.66,144.5,Brush,107.7,54.6,0.91,89.4
Polyester,UV,24.06,135.2,Spray,146.9,93.9,0.95,96.9
Silicone,UV,30.58,150.2,Spray,135.8,63.3,0.82,77.3
Polyester,UV,30.92,128.0,Spray,98.4,56.5,0.81,97.8
Polyester,UV,37.92,163.7,Spray,142.1,94.4,0.85,71.8
Acrylic,UV,10.75,101.6,Brush,119.2,97.8,0.83,98.0
Polyester,Plasma,16.25,163.6,Brush,143.7,93.1,0.97,80.5
Silicone,None,31.12,129.4,Dip,138.0,90.5,0.84,73.0
Polyester,UV,44.02,184.9,Dip,115.5,82.8,1.0,84.6
Acrylic,Chemical,30.28,141.8,Spray,91.3,77.5,0.87,77.7
Acrylic,None,15.74,196.8,Brush,106.1,54.3,0.84,78.5
Silicone,None,35.59,152.2,Brush,122.5,70.4,0.96,79.2
Epoxy,UV,38.3,106.9,Brush,128.0,68.6,0.93,94.1
Epoxy,Plasma,15.72,178.6,Dip,105.5,63.0,0.9,86.2
Polyester,UV,22.0,121.4,Dip,98.4,86.2,0.91,79.3
Polyurethane,Plasma,29.04,121.7,Brush,140.1,74.8,0.94,88.3
Polyester,Chemical,27.35,83.8,Brush,149.1,54.1,0.85,91.5
Silicone,None,22.53,145.8,Brush,121.5,61.0,1.0,78.2
Silicone,Chemical,18.39,144.1,Dip,100.3,84.2,0.99,82.4
Silicone,Plasma,9.5,122.7,Brush,106.3,53.8,0.93,73.7
Silicone,Plasma,7.41,187.3,Brush,91.1,92.6,0.84,75.4
Silicone,Chemical,48.13,95.4,Spray,144.9,74.8,0.94,90.4
Acrylic,Plasma,43.12,119.6,Spray,97.1,74.0,0.81,75.4
Epoxy,Chemical,20.97,118.6,Dip,124.6,79.6,0.81,85.8
Silicone,None,48.06,91.1,Brush,106.4,91.2,0.85,91.3
Polyurethane,Chemical,35.45,137.7,Brush,123.3,67.4,0.89,73.2
Polyurethane,None,26.71,162.5,Spray,129.1,83.9,0.97,87.0
Polyurethane,Chemical,27.19,141.4,Dip,139.8,78.3,0.95,77.7
Polyurethane,Plasma,8.75,98.8,Spray,102.4,63.4,0.95,98.9
Acrylic,Chemical,9.13,125.3,Spray,90.7,93.9,0.89,84.5
Polyurethane,Plasma,32.11,80.3,Spray,98.2,89.9,0.87,94.2
Silicone,Chemical,29.92,184.2,Spray,144.0,82.9,0.87,86.5
Polyester,Chemical,14.57,90.1,Brush,142.4,92.5,1.0,71.3
Polyurethane,UV,47.58,151.7,Brush,125.8,93.4,0.81,89.0
Acrylic,Plasma,40.16,198.4,Spray,126.0,85.4,0.97,98.5
Acrylic,UV,10.11,144.4,Dip,129.9,91.9,0.92,88.0
Polyurethane,Plasma,46.89,190.9,Dip,100.5,84.9,0.89,94.6
Polyester,UV,48.84,108.3,Dip,144.9,84.0,0.95,96.5
Polyurethane,None,49.82,171.2,Dip,115.1,80.9,0.9,76.8
Acrylic,Chemical,7.51,143.8,Spray,113.0,87.6,0.97,76.4
Epoxy,Plasma,38.17,166.5,Brush,121.1,57.9,0.98,88.3
Silicone,Plasma,29.57,87.5,Dip,92.8,94.0,0.88,82.3
Acrylic,Chemical,36.76,97.7,Spray,100.0,93.6,0.86,95.2
Polyurethane,Plasma,48.59,96.0,Dip,134.3,51.5,0.92,97.0
Silicone,Plasma,35.96,162.5,Dip,95.0,91.3,0.98,80.6
Polyurethane,UV,42.66,181.3,Spray,126.2,56.4,0.84,77.1
Polyurethane,Plasma,44.01,170.0,Brush,104.7,66.8,0.92,93.4
Epoxy,None,42.73,83.7,Brush,113.4,87.2,0.93,78.2
Silicone,None,24.17,184.1,Spray,107.3,58.0,0.95,94.7
Silicone,Chemical,15.02,122.5,Brush,111.3,90.9,0.83,82.7
Epoxy,Plasma,22.85,127.7,Spray,133.1,91.6,0.94,90.0
Acrylic,Chemical,45.14,92.6,Spray,107.8,75.4,0.98,72.9
Polyurethane,None,11.6,168.5,Spray,124.0,50.3,0.84,88.7
Polyester,Plasma,28.1,101.9,Brush,118.6,64.4,0.85,83.6
Polyurethane,Plasma,15.5,147.7,Spray,129.8,80.8,0.99,87.6
Polyurethane,Chemical,31.16,180.9,Dip,146.2,99.1,0.84,75.0
Acrylic,None,43.84,90.7,Brush,134.0,81.6,0.97,92.1
Polyurethane,Plasma,44.62,144.2,Brush,102.9,63.0,0.9,95.9
Epoxy,Chemical,15.65,108.0,Brush,91.9,81.7,0.85,76.5
Epoxy,None,45.85,121.2,Brush,105.7,77.0,0.97,72.9
Silicone,Chemical,31.63,136.9,Dip,125.7,89.0,0.89,70.7
Polyester,UV,20.76,122.6,Brush,93.1,55.3,0.9,89.3
Polyurethane,Plasma,36.87,157.9,Brush,119.8,88.1,0.87,88.2
Polyurethane,UV,26.68,137.5,Spray,125.8,77.1,0.92,86.4
Acrylic,None,22.01,150.1,Brush,110.1,98.1,0.83,77.0
Epoxy,UV,36.73,168.4,Dip,136.3,67.1,0.88,81.7
Polyester,UV,16.19,146.9,Dip,96.4,81.6,0.99,87.8
Silicone,None,19.86,150.4,Dip,94.5,96.6,0.85,84.9
Epoxy,Chemical,24.55,147.7,Dip,133.7,55.1,0.93,99.6
Silicone,UV,16.42,125.5,Brush,119.7,96.9,0.87,74.1
Acrylic,Chemical,23.23,120.5,Brush,131.3,84.4,0.95,90.9
Acrylic,UV,30.72,188.0,Dip,116.1,53.4,0.83,82.1
Polyurethane,Chemical,38.34,152.9,Dip,104.8,65.0,0.99,82.8
Polyester,None,39.52,109.3,Brush,139.1,85.4,0.89,91.5
Silicone,UV,42.03,139.8,Dip,138.0,53.4,0.85,90.8
